職業類別,行業大類,中類,細類,細類名稱
主管駕駛,H 運輸及倉儲業,49 陸上運輸業,4920,小客車運輸業
人事助理,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
人事／人力資源主管,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
人事／人力資源專員,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
人力／外勞仲介,N 支援服務業,78 人力供應業,7810,人力仲介業
儲備幹部,N 支援服務業,78 行政及支援服務業,7820,臨時雇用業
基層管理幹部,N 支援服務業,78 行政及支援服務業,7820,臨時雇用業
工讀生,N 支援服務業,78 行政及支援服務業,7820,臨時雇用業
教育訓練人員,P 教育服務業,85 補習教育業,8540,企業內訓教育
文件管理師,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
檔案資料管理人員,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
特別助理,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
秘書,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
經營管理主管,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
總務主管,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
總務人員,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
總機／接待／櫃檯人員,I 住宿及餐飲業,55 住宿服務業,5510,旅館業
行政主管,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
行政人員,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
行政助理,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
電腦操作／資料輸入,J 資訊及通訊傳播業,62 資訊服務業,6201,資料處理服務業
高階秘書,O 公共行政及國防,84 行政及管理支援業,8410,一般行政支援
中式廚師,I 住宿及餐飲業,56 餐飲業,5611,中式餐館
中式麵點人員／師傅,I 住宿及餐飲業,56 餐飲業,5611,中式餐館
中／港式點心廚師,I 住宿及餐飲業,56 餐飲業,5611,中式餐館
休閒娛樂事業從業人員,R 藝術、娛樂及休閒服務業,90 娛樂及休閒服務業,9000,娛樂休閒業
其他料理廚師,I 住宿及餐飲業,56 餐飲業,5690,其他餐飲業
冷熱飲調製人員,I 住宿及餐飲業,56 餐飲業,5621,飲料店業
寵物美容專業人員,S 其他服務業,96 美容美髮服務業,9640,寵物美容服務業
導遊／領隊／導覽,R 藝術、娛樂及休閒服務業,91 觀光旅遊服務業,9110,旅遊服務業
房務人員,I 住宿及餐飲業,55 住宿服務業,5510,旅館業
整體造型師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
旅遊休閒類主管,R 藝術、娛樂及休閒服務業,91 觀光旅遊服務業,9110,旅遊服務業
日式廚師,I 住宿及餐飲業,56 餐飲業,5612,日式餐館
洗碗人員,I 住宿及餐飲業,56 餐飲業,5690,其他餐飲業
生鮮處理人員,I 住宿及餐飲業,56 餐飲業,5619,其他餐飲業
票務人員／旅行社人員,R 藝術、娛樂及休閒服務業,91 觀光旅遊服務業,9110,旅遊服務業
美容助理,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美容師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美容講師／技導,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美甲彩繪師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美療師／芳療師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美睫師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美髮助理,S 其他服務業,96 美容美髮服務業,9630,美容服務業
美髮講師／技導,S 其他服務業,96 美容美髮服務業,9630,美容服務業
西式廚師,I 住宿及餐飲業,56 餐飲業,5613,西式餐館
西點蛋糕師,I 住宿及餐飲業,56 餐飲業,5613,西式餐館
調酒師／吧台人員,I 住宿及餐飲業,56 餐飲業,5629,其他飲料業
遊樂景點工作人員,R 藝術、娛樂及休閒服務業,90 娛樂及休閒服務業,9000,娛樂休閒業
鐵板燒廚師,I 住宿及餐飲業,56 餐飲業,5613,西式餐館
飯店／旅館主管,I 住宿及餐飲業,55 住宿服務業,5510,旅館業
飯店／旅館服務人員,I 住宿及餐飲業,55 住宿服務業,5510,旅館業
飯店／旅館櫃檯人員,I 住宿及餐飲業,55 住宿服務業,5510,旅館業
餐廚助手,I 住宿及餐飲業,56 餐飲業,5610,餐館及餐飲服務業
餐飲主管,I 住宿及餐飲業,56 餐飲業,5610,餐館業
餐飲服務人員,I 住宿及餐飲業,56 餐飲業,5610,餐館業
餐飲領班,I 住宿及餐飲業,56 餐飲業,5610,餐館業
髮型設計師,S 其他服務業,96 美容美髮服務業,9630,美容服務業
麵包師,I 住宿及餐飲業,56 餐飲業,5613,西式餐館
UI/UX設計師,M 專業科學及技術服務業,74 專門設計服務業,7410,多媒體設計業
包裝設計,M 專業科學及技術服務業,74 專門設計服務業,7410,包裝設計業
商業設計,M 專業科學及技術服務業,74 專門設計服務業,7410,商業設計業
多媒體動畫設計師,M 專業科學及技術服務業,74 專門設計服務業,7410,多媒體設計業
工業設計,M 專業科學及技術服務業,74 專門設計服務業,7410,工業設計業
平面設計,M 專業科學及技術服務業,74 專門設計服務業,7410,平面設計業
廣告設計,M 專業科學及技術服務業,74 專門設計服務業,7410,廣告設計業
打版人員,C 製造業,14 成衣及服飾製造業,1410,成衣製造業
服裝設計,M 專業科學及技術服務業,74 專門設計服務業,7410,服飾設計業
樣品師,C 製造業,14 成衣及服飾製造業,1410,成衣製造業
網頁設計,J 資訊及通訊傳播業,63 資訊服務業,6311,網頁設計服務業
美編人員,M 專業科學及技術服務業,74 專門設計服務業,7410,平面設計業
設計主管,M 專業科學及技術服務業,74 專門設計服務業,7410,專門設計服務業
設計助理,M 專業科學及技術服務業,74 專門設計服務業,7410,專門設計服務業
鞋類／皮件設計,M 專業科學及技術服務業,74 專門設計服務業,7410,鞋類設計業
ERP專案管理師,J 資訊及通訊傳播業,63 資訊服務業,6312,資訊系統整合服務業
ESG永續管理師,M 專業科學及技術服務業,70 管理顧問業,7020,永續發展顧問服務
公關企劃人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,公共關係服務業
其他專案管理師,M 專業科學及技術服務業,70 管理顧問業,7020,專案顧問服務
婚禮企劃人員,R 藝術、娛樂及休閒服務業,90 娛樂及休閒服務業,9000,婚禮服務業
專案管理主管,M 專業科學及技術服務業,70 管理顧問業,7020,專案顧問服務
專案經理,M 專業科學及技術服務業,70 管理顧問業,7020,專案顧問服務
市場調查／分析人員,M 專業科學及技術服務業,73 廣告與市場研究業,7320,市場研究與民意調查
廣告採購人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,媒體採購服務
廣告文案企劃人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,廣告企劃服務
廣告／行銷企劃主管,M 專業科學及技術服務業,73 廣告與市場研究業,7310,廣告企劃服務
數位行銷人員,J 資訊及通訊傳播業,63 資訊服務業,6312,數位內容行銷服務業
活動企劃人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,活動企劃與推廣
產品企劃主管,M 專業科學及技術服務業,70 管理顧問業,7020,產品管理顧問服務
產品企劃人員,M 專業科學及技術服務業,70 管理顧問業,7020,產品管理顧問服務
產品管理師,M 專業科學及技術服務業,70 管理顧問業,7020,產品管理顧問服務
產品經理,M 專業科學及技術服務業,70 管理顧問業,7020,產品管理顧問服務
社群經營人員,J 資訊及通訊傳播業,63 資訊服務業,6312,數位內容行銷服務業
策展人員,R 藝術、娛樂及休閒服務業,90 娛樂及休閒服務業,9000,藝術策展服務
網站企劃人員,J 資訊及通訊傳播業,63 資訊服務業,6312,資訊系統整合服務業
行銷企劃人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,行銷企劃服務業
行銷企劃助理,M 專業科學及技術服務業,73 廣告與市場研究業,7310,行銷企劃服務業
軟體相關管理師,J 資訊及通訊傳播業,63 資訊服務業,6312,資訊系統整合服務業
遊戲企劃人員,J 資訊及通訊傳播業,63 資訊服務業,6313,數位遊戲設計與開發業
保全人員／警衛,N 支援服務業,80 保全及守衛業,8010,保全服務業
保全工程技術人員,N 支援服務業,80 保全及守衛業,8020,安全監控設備安裝業
公家機關相關人員,O 公共行政及國防,84 中央政府及地方行政機關,8410,一般行政支援
志願役軍官／士官／士兵,O 公共行政及國防,84 國防事務,8420,軍事人員
救生員,R 藝術、娛樂及休閒服務業,90 娛樂及休閒服務業,9000,運動與水域安全管理
消防類相關人員,O 公共行政及國防,84 公共安全事務,8430,消防與緊急應變人員
管理員,N 支援服務業,81 建築物管理業,8110,社區及大樓管理服務
總幹事,S 其他服務業,96 宗教、職業及其他組織,9603,組織及社區幹部
隨扈／安全人員,N 支援服務業,80 保全及守衛業,8010,保全服務業
中醫師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,中醫診所
個案管理師,Q 醫療保健及社會工作服務業,88 社會工作服務業,8891,個案管理服務
其他醫療從業人員,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
勞工健康服務護理人員／廠護,Q 醫療保健及社會工作服務業,86 醫療服務業,8620,職業健康與工作護理
呼吸治療師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
專任管理員,N 支援服務業,81 建築物管理業,8110,社區及大樓管理服務
專科護理師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
居家服務督導員,Q 醫療保健及社會工作服務業,88 社會工作服務業,8892,居家照護服務
復健技術師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,復健中心
推拿／按摩師,Q 醫療保健及社會工作服務業,86 醫療服務業,8612,中醫推拿服務
放射性設備使用技術員,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
照顧實務指導員,Q 醫療保健及社會工作服務業,88 社會工作服務業,8892,長照訓練與指導
照顧服務／指導員,Q 醫療保健及社會工作服務業,88 社會工作服務業,8892,長照訓練與指導
營養師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,營養服務
牙醫助理,Q 醫療保健及社會工作服務業,86 醫療服務業,8611,牙科診所
牙醫師,Q 醫療保健及社會工作服務業,86 醫療服務業,8611,牙科診所
牙體技術人員,Q 醫療保健及社會工作服務業,86 醫療服務業,8611,牙技中心
物理治療師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,復健服務
獸醫助理,S 其他服務業,96 動物照護服務業,9620,動物醫療助理
獸醫／獸醫佐,S 其他服務業,96 動物照護服務業,9610,獸醫服務
職能治療師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,職能治療
聽力師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,聽力矯正
臨床／諮商心理師,Q 醫療保健及社會工作服務業,87 心理諮商服務業,8710,心理諮商中心
藥師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,藥局
藥師助理,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,藥局
診所助理,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,診所服務
語言治療師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,語言矯治
護理師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,護理服務
護理長,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
醫事放射師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
醫事檢驗師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
醫學美容／整型,Q 醫療保健及社會工作服務業,86 醫療服務業,8612,醫學美容診所
醫師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
醫院行政管理人員,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,醫院
驗光師,Q 醫療保健及社會工作服務業,86 醫療服務業,8610,驗光服務
不動產審核／估價師,,,,
主辦會計,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計服務
券商後線人員,K 金融及保險業,66 證券期貨業,6610,證券期貨後線服務
帳款催收人員,K 金融及保險業,64 金融服務業,6410,銀行業
成本會計人員,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計服務
承銷人員,,,,
投資理財人員,K 金融及保險業,64 金融服務業,6410,理財顧問
授權／授信／徵信人員,K 金融及保險業,64 金融服務業,6410,銀行業
會計師,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計師事務所
會計／出納／記帳人員,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計服務
查帳／審計人員,M 專業科學及技術服務業,69 法律及會計服務業,6920,審計服務
核保／保險內勤人員,K 金融及保險業,65 保險業,6511,保險服務
理賠人員,K 金融及保險業,65 保險業,6511,保險服務
稅務人員,K 金融及保險業,64 金融服務業,6411,稅務服務
稽核主管,K 金融及保險業,64 金融服務業,6410,金融機構
稽核人員,K 金融及保險業,64 金融服務業,6410,金融機構
統計精算人員,K 金融及保險業,65 保險業,6512,精算服務
股票事務人員,K 金融及保險業,66 證券期貨業,6610,證券後線
財務人員,K 金融及保險業,64 金融服務業,6410,金融機構
財務分析人員,K 金融及保險業,64 金融服務業,6410,金融機構
財務／會計主管,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計服務
財務／會計助理,M 專業科學及技術服務業,69 法律及會計服務業,6920,會計服務
金融專業主管,K 金融及保險業,64 金融服務業,6410,金融服務管理
金融營業人員,K 金融及保險業,64 金融服務業,6410,銀行與保險銷售
金融研究人員,K 金融及保險業,64 其他金融服務業,6490,其他金融服務業
銀行辦事人員,K 金融及保險業,64 金融服務業,6410,銀行內勤
APP工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,行動應用開發
BIOS工程師,C 製造業,26 電子零組件製造業,2691,系統韌體設計
CIM工程師,C 製造業,26 電子零組件製造業,2699,製程整合控制
DevOps工程師,J 資訊及通訊傳播業,63 資訊服務業,6313,開發與維運整合
MES工程師,C 製造業,26 電子零組件製造業,2699,製造執行系統開發
MIS工程師,,,,
MIS／網管主管,,,,
全端工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,前後端整合開發
前端工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,網站與前端開發
助理工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,軟體與系統開發助理
區塊鏈工程師,,,,
商業分析師,M 專業科學及技術服務業,70 管理顧問業,7020,商業分析顧問
密碼學專家,,,,
嵌入式工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,嵌入式開發
市場分析師,,,,
後端工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,系統後端開發
數據分析師,M 專業科學及技術服務業,70 管理顧問業,7020,數據分析服務
數據工程師,M 專業科學及技術服務業,70 管理顧問業,7020,資料工程與數據處理
數據建模工程師,M 專業科學及技術服務業,70 管理顧問業,7020,數據模型規劃
數據架構師,M 專業科學及技術服務業,70 管理顧問業,7020,數據架構設計
數據科學家,M 專業科學及技術服務業,70 管理顧問業,7020,人工智慧與機器學習服務
數據管理師,M 專業科學及技術服務業,70 管理顧問業,7020,數據治理與管理
機器學習工程師,M 專業科學及技術服務業,70 管理顧問業,7020,人工智慧與機器學習服務
漏洞評估滲透測試工程師,,,,
演算法開發工程師,,,,
硬體工程研發主管,,,,
系統主管,,,,
系統分析師,,,,
系統工程師,,,,
系統維護員／操作員,,,,
統計分析師,M 專業科學及技術服務業,70 管理顧問業,7020,統計與分析顧問服務
網站技術主管,,,,
網站程式設計師,,,,
網路及電信線路架設人員,F 建築業,43 專門工程,4320,電信與網路佈線工程
網路管理工程師,J 資訊及通訊傳播業,63 資訊服務業,6314,網路管理與維運
網路資安工程師,J 資訊及通訊傳播業,63 資訊服務業,6311,網路資安整合服務
網路風險管理主管,J 資訊及通訊傳播業,63 資訊服務業,6311,資安管理主管
臨床數據管理師,,,,
自動化測試工程師,,,,
資安教育員,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全訓練服務
資安監控防禦工程師,J 資訊及通訊傳播業,63 資訊服務業,6311,資安監控服務
資安稽核師,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全管理服務
資安系統規劃師,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全管理服務
資安長,J 資訊及通訊傳播業,63 資訊服務業,6311,資安管理主管
資安風險管理師,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全管理服務
資料庫管理人員,J 資訊及通訊傳播業,63 資訊服務業,6312,資料庫維護與管理
資料科學助理工程師,M 專業科學及技術服務業,70 管理顧問業,7020,資料分析與建模
資料科學工程主管,M 專業科學及技術服務業,70 管理顧問業,7020,資料科學團隊管理
資訊助理人員,,,,
資訊威脅分析師,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全管理服務
資訊安全架構師,J 資訊及通訊傳播業,63 資訊服務業,6311,資訊安全架構規劃
資訊安全運營工程師,J 資訊及通訊傳播業,63 資訊服務業,6311,SOC營運管理
軟體專案主管,,,,
軟體工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,應用軟體開發服務
軟／韌體測試人員,,,,
通訊軟體工程師,,,,
雲服務/雲計算助理工程師,,,,
雲服務/雲計算工程主管,,,,
雲端工程師,J 資訊及通訊傳播業,63 資訊服務業,6313,雲端架構與維運
雲端應用工程師,,,,
雲端架構師,J 資訊及通訊傳播業,63 資訊服務業,6313,雲端架構與維運
雲端系統管理員,,,,
雲端網路工程師,,,,
雲端自動化工程師,J 資訊及通訊傳播業,63 資訊服務業,6313,雲端自動化工具
雲端資安管理師,J 資訊及通訊傳播業,63 資訊服務業,6313,雲端資安與合規
電子商務技術主管,,,,
電玩工程師,J 資訊及通訊傳播業,63 資訊服務業,6313,遊戲軟體設計與開發
電腦硬體研發工程師,,,,
電腦組裝／維修,,,,
韌體工程師,J 資訊及通訊傳播業,63 資訊服務業,6312,韌體與驅動程式
韌體研發類主管,J 資訊及通訊傳播業,63 資訊服務業,6312,韌體研發主管
