職業類別,大類碼,大類名稱,中類,小類,細類,細類名稱,產業別分類
工地安全衛生工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
工地監工,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
建築師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
建築繪圖∕設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
挖土∕推土機相關操作人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
景觀設計人員,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
模板工程人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
水利工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
水土保持技師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
水電及其他工程繪圖人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
水電工,F,營建工程業,43,433,4332,冷凍空調、通風及管道工程業,冷凍空調、通風及管道工程業
水電工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
泥水工相關人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
測量∕儀校人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
營建主管,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
營建工程人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
營建雜工∕粗工,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
現場規劃工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
發包人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
結構技師∕工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
都市∕交通規劃人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
重機械操作人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
金屬建材架構人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
防水施工人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
電信∕配線繪圖,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
加油服務,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
動物飼育專業人員,A,農、林、漁、牧業,1,16,162,畜產服務業,畜產服務業
宗教∕神職人員,R,藝術、娛樂及休閒服務業,94,941,9410,宗教組織,宗教組織
家事服務∕洗衣,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
寵物禮儀師,S,其他服務業,96,963,9630,喪葬及寵物殯葬服務業,喪葬及寵物殯葬服務業
志工∕義工類人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
搬運人員,H,運輸及倉儲業,53,533,5330,裝卸搬運業,裝卸搬運業
星象占卜人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
汽車美容,S,其他服務業,95,951,9512,汽車美容業,汽車美容業
清潔∕資源回收人員,E,供應及廢棄物管理業,38,383,3830,資源回收處理業,資源回收處理業
社會工作人員∕督導,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
禮儀師,S,其他服務業,96,963,9630,喪葬及寵物殯葬服務業,喪葬及寵物殯葬服務業
舉牌∕傳單∕派報員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
花藝∕園藝人員,N,行政及支援服務業,81,813,8130,綠化服務業,綠化服務業
農藝栽培專業人員,A,農、林、漁、牧業,1,16,161,農業服務業,農業服務業
農藝∕畜產研究人員,A,農、林、漁、牧業,1,16,161,農業服務業,農業服務業
養殖∕畜牧專業人員,A,農、林、漁、牧業,1,16,162,畜產服務業,畜產服務業
化學∕化工工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
奈米研發工程師,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
實驗∕化驗人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
微生物分析師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
材料研發人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
特用化學工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
生技主管,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
生物科技研發人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
病理藥理研究人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
紡織化學工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
醫療器材研發工程師,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
醫藥研發人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
食品研發人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
主管駕駛,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
人事助理,N,行政及支援服務業,78,781,7810,人力仲介服務業,人力仲介服務業
人事∕人力資源主管,N,行政及支援服務業,78,781,7810,人力仲介服務業,人力仲介服務業
人事∕人力資源專員,N,行政及支援服務業,78,781,7810,人力仲介服務業,人力仲介服務業
人力∕外勞仲介,N,行政及支援服務業,78,781,7810,人力仲介服務業,人力仲介服務業
儲備幹部,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
基層管理幹部,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
工讀生,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
教育訓練人員,P,教育業,85,854,8540,其他教育支援服務業,其他教育支援服務業
文件管理師,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
檔案資料管理人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
特別助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
秘書,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
經營管理主管,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
總務主管,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
總務人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
總機∕接待∕櫃檯人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
行政主管,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
行政人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
行政助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
電腦操作∕資料輸入,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
高階秘書,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
中式廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
中式麵點人員∕師傅,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
中∕港式點心廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
休閒娛樂事業從業人員,R,藝術、娛樂及休閒服務業,93,932,9321,運動與休閒服務業,運動與休閒服務業
其他料理廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
冷熱飲調製人員,I,住宿及餐飲業,56,561,5612,飲料店業,飲料店業
寵物美容專業人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
導遊∕領隊∕導覽,N,行政及支援服務業,79,791,7912,旅行業,旅行業
房務人員,I,住宿及餐飲業,55,551,5510,旅館業,旅館業
整體造型師,S,其他服務業,96,962,9622,美容美體業,美容美體業
旅遊休閒類主管,N,行政及支援服務業,79,791,7912,旅行業,旅行業
日式廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
洗碗人員,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
生鮮處理人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
票務人員∕旅行社人員,N,行政及支援服務業,79,791,7912,旅行業,旅行業
美容助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
美容師,S,其他服務業,96,962,9622,美容美體業,美容美體業
美容講師∕技導,S,其他服務業,96,962,9622,美容美體業,美容美體業
美甲彩繪師,S,其他服務業,96,962,9622,美容美體業,美容美體業
美療師∕芳療師,S,其他服務業,96,962,9622,美容美體業,美容美體業
美睫師,S,其他服務業,96,962,9622,美容美體業,美容美體業
美髮助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
美髮講師∕技導,S,其他服務業,96,962,9621,美髮業,美髮業
西式廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
西點蛋糕師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
調酒師∕吧台人員,I,住宿及餐飲業,56,561,5612,飲料店業,飲料店業
遊樂景點工作人員,R,藝術、娛樂及休閒服務業,93,932,9321,運動與休閒服務業,運動與休閒服務業
鐵板燒廚師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
飯店∕旅館主管,I,住宿及餐飲業,55,551,5510,旅館業,旅館業
飯店∕旅館服務人員,I,住宿及餐飲業,55,551,5510,旅館業,旅館業
飯店∕旅館櫃檯人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
餐廚助手,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
餐飲主管,I,住宿及餐飲業,56,561,5612,飲料店業,飲料店業
餐飲服務人員,I,住宿及餐飲業,56,561,5612,飲料店業,飲料店業
餐飲領班,I,住宿及餐飲業,56,561,5612,飲料店業,飲料店業
髮型設計師,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
麵包師,I,住宿及餐飲業,56,561,5611,餐館業,餐館業
UI/UX設計師,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
包裝設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
商業設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
多媒體動畫設計師,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
工業設計,M,專業、科學及技術服務業,74,740,7402,工業設計業,工業設計業
平面設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
廣告設計,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
打版人員,C,製造業,14,141,1410,服飾製造業,服飾製造業
服裝設計,C,製造業,14,141,1410,服飾製造業,服飾製造業
樣品師,C,製造業,14,141,1410,服飾製造業,服飾製造業
網頁設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
美編人員,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
設計主管,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
設計助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
鞋類∕皮件設計,C,製造業,14,142,1420,鞋類製造業,鞋類製造業
ERP專案管理師,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
ESG永續管理師,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
公關企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
其他專案管理師,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
婚禮企劃人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
專案管理主管,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
專案經理,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
市場調查∕分析人員,M,專業、科學及技術服務業,73,732,7320,市場研究及民意調查業,市場研究及民意調查業
廣告採購人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
廣告文案企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
廣告∕行銷企劃主管,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
數位行銷人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
活動企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
產品企劃主管,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
產品企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
產品管理師,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
產品經理,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
社群經營人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
策展人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
網站企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
行銷企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
行銷企劃助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
軟體相關管理師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
遊戲企劃人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
保全人員∕警衛,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
保全工程技術人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
公家機關相關人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
志願役軍官∕士官∕士兵,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
救生員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
消防類相關人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
管理員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
總幹事,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
隨扈∕安全人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
中醫師,Q,醫療保健及社會工作服務業,86,862,8620,醫師及牙醫服務業,醫師及牙醫服務業
個案管理師,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
其他醫療從業人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
勞工健康服務護理人員∕廠護,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
呼吸治療師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
專任管理員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
專科護理師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
居家服務督導員,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
復健技術師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
推拿∕按摩師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
放射性設備使用技術員,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
照顧實務指導員,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
照顧服務∕指導員,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
營養師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
牙醫助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
牙醫師,Q,醫療保健及社會工作服務業,86,862,8620,醫師及牙醫服務業,醫師及牙醫服務業
牙體技術人員,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
物理治療師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
獸醫助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
獸醫∕獸醫佐,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
職能治療師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
聽力師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
臨床∕諮商心理師,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
藥師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
藥師助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
診所助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
語言治療師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
護理師,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
護理長,Q,醫療保健及社會工作服務業,86,869,8690,其他醫療保健服務業,其他醫療保健服務業
醫事放射師,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
醫事檢驗師,Q,醫療保健及社會工作服務業,87,879,8790,其他社會工作服務業,其他社會工作服務業
醫學美容∕整型,S,其他服務業,96,962,9622,美容美體業,美容美體業
醫師,Q,醫療保健及社會工作服務業,86,862,8620,醫師及牙醫服務業,醫師及牙醫服務業
醫院行政管理人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
驗光師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
不動產審核∕估價師,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
主辦會計,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
券商後線人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
帳款催收人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
成本會計人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
承銷人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
投資理財人員,K,金融及保險業,66,669,6691,投資顧問業,投資顧問業
授權∕授信∕徵信人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
會計師,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
會計∕出納∕記帳人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
查帳∕審計人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
核保∕保險內勤人員,K,金融及保險業,65,655,6551,保險代理人及經紀人,保險代理人及經紀人
理賠人員,K,金融及保險業,65,655,6551,保險代理人及經紀人,保險代理人及經紀人
稅務人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
稽核主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
稽核人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
統計精算人員,M,專業、科學及技術服務業,69,692,6920,會計服務業,會計服務業
股票事務人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
財務人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
財務分析人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
財務∕會計主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
財務∕會計助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
金融專業主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
金融營業人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
金融研究人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
銀行辦事人員,K,金融及保險業,64,641,6419,其他貨幣金融服務業,其他貨幣金融服務業
APP工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
BIOS工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
CIM工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
DevOps工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
MES工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
MIS工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
MIS∕網管主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
全端工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
前端工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
助理工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
區塊鏈工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
商業分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
密碼學專家,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
嵌入式工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
市場分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
後端工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據建模工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據架構師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據科學家,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
數據管理師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
機器學習工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
漏洞評估滲透測試工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
演算法開發工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
硬體工程研發主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
系統主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
系統分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
系統工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
系統維護員∕操作員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
統計分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網站技術主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網站程式設計師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網路及電信線路架設人員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網路管理工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網路資安工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
網路風險管理主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
臨床數據管理師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
自動化測試工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安教育員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安監控防禦工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安稽核師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安系統規劃師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安長,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資安風險管理師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資料庫管理人員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資料科學助理工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資料科學工程主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資訊助理人員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資訊威脅分析師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資訊安全架構師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
資訊安全運營工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
軟體專案主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
軟體工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
軟∕韌體測試人員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
通訊軟體工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲服務/雲計算助理工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲服務/雲計算工程主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端應用工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端架構師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端系統管理員,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端網路工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端自動化工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
雲端資安管理師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
電子商務技術主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
電玩工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
電腦硬體研發工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
電腦組裝∕維修,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
韌體工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
韌體研發類主管,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
